,title,eps_count,publish_date,status,season,studio,Censorship,rate,director,eps_period,type,classification
0,Boku no Hero Academia 2nd Season,الحلقات: 25,14-Oct-23,الحالة: مكتمل,Spring 2017,Bones,الرقابة: Censored,التقييم 8.10,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'School', 'Shounen', 'Super Power']"
1,Cue!,الحلقات: 24,13-Oct-23,الحالة: مكتمل,Winter 2022,Graphinica,الرقابة: Censored,التقييم 6.79,Katagai Shin,المدة: 24 min. per ep.,النوع: مسلسل,"['Music', 'Showbiz']"
2,Maiko-san Chi no Makanai-san,الحلقات: 12,4-Dec-23,الحالة: مكتمل,Winter 2021,J.C.Staff,الرقابة: Censored,التقييم 7.03,Suzuki Youhei,المدة: 25 min. per ep.,النوع: مسلسل,"['Educational', 'Gourmet', 'Iyashikei', 'Shounen', 'Slice of Life', 'Workplace']"
3,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Spring 2015,J.C.Staff,الرقابة: Censored,التقييم 7.54,Yamakawa Yoshiki,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy']"
4,"Sayounara Ryuusei, Konnichiwa Jinsei",نشر بواسطة: admin,unknown,الحالة: مكتمل,unknown,SynergySP,"تم الإصدار في: August 21, 2024",unknown,unknown,النوع: مسلسل,المخرج: Nishida Kenichi,"['Action', 'Adventure', 'Fantasy', 'Reincarnation']"
5,Golden Kamuy 4th Season,الحلقات: 13,18-Sep-23,الحالة: مكتمل,Fall 2022,Brain's Base,الرقابة: Censored,التقييم 8.13,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']"
6,Sayonara Watashi no Cramer,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Spring 2021,LIDENFILMS,الرقابة: Censored,التقييم 6.09,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Drama', 'Shounen', 'Sports', 'Team Sports']"
7,Dance Dance Danseur,الحلقات: 11,19-Sep-23,الحالة: مكتمل,Spring 2022,MAPPA,الرقابة: Censored,التقييم 7.87,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Drama', 'Performing Arts', 'Seinen']"
8,Bleach: Sennen Kessen-hen,الحلقات: 13,18-Sep-23,الحالة: مكتمل,Fall 2022,Pierrot,الرقابة: Censored,التقييم 9.06,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
9,Monster,الحلقات: 74,12-Oct-23,الحالة: مكتمل,Spring 2004,Madhouse,الرقابة: Censored,التقييم 8.87,Kojima Masayuki,المدة: 24 min. per ep.,النوع: مسلسل,"['Adult Cast', 'Drama', 'Mystery', 'Psychological', 'Seinen', 'Suspense']"
10,Tokyo Revengers: Tenjiku-hen,المخرج: Hatsumi Kouichi,unknown,الحالة: مكتمل,unknown,LIDENFILMS,نشر بواسطة: admin,unknown,unknown,الموسم: Fall 2023,الرقابة: Censored,"['Action', 'Delinquents', 'Drama', 'Shounen', 'Supernatural', 'Time Travel']"
11,Yowamushi Pedal: Limit Break,الحلقات: 25,18-Sep-23,الحالة: مكتمل,Fall 2022,TMS Entertainment,الرقابة: Censored,التقييم 7.38,Nabeshima Osamu,المدة: 24 min. per ep.,النوع: مسلسل,"['Racing', 'Shounen', 'Sports']"
12,Wind Breaker,المخرج: Akai Toshifumi,unknown,الحالة: مكتمل,unknown,CloverWorks,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2024,الرقابة: Censored,"['Action', 'Delinquents', 'School']"
13,Shin Chuuka Ichiban! 2nd Season,الحلقات: 12,27-Sep-23,الحالة: مكتمل,Winter 2021,Nihon Ad Systems,الرقابة: Censored,التقييم 6.66,unknown,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Gourmet', 'Shounen']"
14,Yofukashi no Uta,الحلقات: 13,2-Oct-23,الحالة: مكتمل,Summer 2022,LIDENFILMS,الرقابة: Censored,التقييم 7.99,Itamura Tomoyuki,المدة: 22 min. per ep.,النوع: مسلسل,"['Romance', 'Shounen', 'Supernatural', 'Vampire']"
15,Mairimashita! Iruma-kun 3rd Season,الحلقات: 21,18-Sep-23,الحالة: مكتمل,Fall 2022,Bandai Namco Pictures,الرقابة: Censored,التقييم 7.81,Moriwaki Makoto,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Fantasy', 'Isekai', 'Mythology', 'School', 'Shounen']"
16,Tokyo Ghoul:re,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2018,Pierrot,الرقابة: Censored,التقييم 6.37,Watanabe Toshinori,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen']"
17,Nande Koko ni Sensei ga!?,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2019,Tear Studio,الرقابة: Censored,التقييم 6.51,Kaneko Hiraku,المدة: 11 min. per ep.,النوع: مسلسل,"['Comedy', 'Ecchi', 'School', 'Seinen']"
18,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita: Sono Ni",المخرج: Sugishima Kunihisa,unknown,الحالة: مكتمل,unknown,Teddy,نشر بواسطة: admin,unknown,unknown,الموسم: Spring 2025,الرقابة: Censored,"['CGDCT', 'Comedy', 'Fantasy', 'Isekai']"
19,Magi: Sinbad no Bouken (TV),الحلقات: 13,2-Oct-23,الحالة: مكتمل,Spring 2016,Lay-duce,الرقابة: Censored,التقييم 7.84,Miyao Yoshikazu,المدة: 24 min. per ep.,النوع: مسلسل,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
20,Dokyuu Hentai HxEros,الحلقات: 12,28-Sep-23,الحالة: مكتمل,Summer 2020,Project No.9,الرقابة: Censored,التقييم 5.75,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'School', 'Sci-Fi', 'Shounen', 'Super Power']"
21,Senryuu Shoujo,الحلقات: 12,19-Sep-23,الحالة: مكتمل,Spring 2019,Connect,الرقابة: Censored,التقييم 7.38,Jinbo Masato,المدة: 12 min. per ep.,النوع: مسلسل,"['Comedy', 'School', 'Shounen', 'Slice of Life']"
22,Edomae Elf,الحلقات: 12,18-Sep-23,الحالة: مكتمل,Spring 2023,C2C,الرقابة: Censored,التقييم 7.30,Anzai Takefumi,المدة: 24 min. per ep.,النوع: مسلسل,"['Comedy', 'Shounen', 'Supernatural']"
23,High Card Season 2,المخرج: Wada Junichi,unknown,الحالة: مكتمل,unknown,Studio Hibari,نشر بواسطة: admin,unknown,unknown,الموسم: Winter 2024,الرقابة: Censored,"['Action', 'Adult Cast', 'Fantasy', 'Organized Crime', 'Super Power']"
24,Tensura Nikki: Tensei shitara Slime Datta Ken,الحلقات: 12,25-Sep-23,الحالة: مكتمل,Spring 2021,8bit,الرقابة: Censored,التقييم 7.59,unknown,المدة: 23 min. per ep.,النوع: مسلسل,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']"
