,0
0,https://animeslayerweb.com/anime/unnamed-memory-act-2/
1,https://animeslayerweb.com/anime/deca-dence/
2,https://animeslayerweb.com/anime/ousama-ranking/
3,https://animeslayerweb.com/anime/ore-no-nounai-sentakushi-ga-gakuen-love-comedy-wo-zenryoku-de-jama-shiteiru/
4,https://animeslayerweb.com/anime/kaijuu-8-gou/
5,https://animeslayerweb.com/anime/karakuri-circus/
6,https://animeslayerweb.com/anime/kanojo-ga-koushaku-tei-ni-itta-riyuu/
7,https://animeslayerweb.com/anime/loop-7-kaime-no-akuyaku-reijou-wa-moto-tekikoku-de-jiyuu-kimama-na-hanayome-seikatsu-wo-mankitsu-suru/
8,https://animeslayerweb.com/anime/kono-healer-mendokusai/
9,https://animeslayerweb.com/anime/terra-formars/
10,https://animeslayerweb.com/anime/fate-zero/
11,https://animeslayerweb.com/anime/kuusen-madoushi-kouhosei-no-kyoukan/
12,https://animeslayerweb.com/anime/bungou-stray-dogs-wan/
13,https://animeslayerweb.com/anime/okinawa-de-suki-ni-natta-ko-ga-hougen-sugite-tsurasugiru/
14,https://animeslayerweb.com/anime/hakozume-kouban-joshi-no-gyakushuu/
15,https://animeslayerweb.com/anime/uchi-no-kaisha-no-chiisai-senpai-no-hanashi/
16,https://animeslayerweb.com/anime/kimetsu-no-yaiba-mugen-ressha-hen/
17,https://animeslayerweb.com/anime/darling-in-the-franxx/
18,https://animeslayerweb.com/anime/ore-no-kanojo-to-osananajimi-ga-shuraba-sugiru/
19,https://animeslayerweb.com/anime/seiken-no-blacksmith/
20,https://animeslayerweb.com/anime/fate-zero-2nd-season/
21,https://animeslayerweb.com/anime/kono-subarashii-sekai-ni-bakuen-wo/
22,https://animeslayerweb.com/anime/relife/
23,https://animeslayerweb.com/anime/hyouka/
24,https://animeslayerweb.com/anime/great-teacher-onizuka/
25,https://animeslayerweb.com/anime/hibike-euphonium-2/
26,https://animeslayerweb.com/anime/mushishi-zoku-shou/
27,https://animeslayerweb.com/anime/sayounara-ryuusei-konnichiwa-jinsei/
28,https://animeslayerweb.com/anime/iwa-kakeru-sport-climbing-girls/
29,https://animeslayerweb.com/anime/cestvs-the-roman-fighter/
30,https://animeslayerweb.com/anime/tasogare-out-focus/
31,https://animeslayerweb.com/anime/uma-musume-pretty-derby-season-2/
32,https://animeslayerweb.com/anime/working/
33,https://animeslayerweb.com/anime/fuuka/
34,https://animeslayerweb.com/anime/shin-shinka-no-mi-shiranai-uchi-ni-kachigumi-jinsei/
35,https://animeslayerweb.com/anime/overlord-movie-3-sei-oukoku-hen/
36,https://animeslayerweb.com/anime/hachi-nan-tte-sore-wa-nai-deshou/
37,https://animeslayerweb.com/anime/mairimashita-iruma-kun-2nd-season/
38,https://animeslayerweb.com/anime/charlotte/
39,https://animeslayerweb.com/anime/gunjou-no-fanfare/
40,https://animeslayerweb.com/anime/mars-red/
41,https://animeslayerweb.com/anime/kubo-san-wa-mob-wo-yurusanai/
42,https://animeslayerweb.com/anime/tensei-shitara-slime-datta-ken-3rd-season/
43,https://animeslayerweb.com/anime/gyakkyou-burai-kaiji-hakairoku-hen/
44,https://animeslayerweb.com/anime/akatsuki-no-yona/
45,https://animeslayerweb.com/anime/isekai-yururi-kikou-kosodateshinagara-boukensha-shimasu/
46,https://animeslayerweb.com/anime/kobayashi-san-chi-no-maid-dragon-s/
47,https://animeslayerweb.com/anime/koukyuu-no-karasu/
48,https://animeslayerweb.com/anime/arte/
49,https://animeslayerweb.com/anime/kabushikigaisha-magi-lumiere/
50,https://animeslayerweb.com/anime/date-a-live-ii/
51,https://animeslayerweb.com/anime/akuyaku-reijou-tensei-ojisan/
52,https://animeslayerweb.com/anime/grisaia-phantom-trigger/
53,https://animeslayerweb.com/anime/yamada-kun-to-7-nin-no-majo/
54,https://animeslayerweb.com/anime/ao-no-orchestra/
55,https://animeslayerweb.com/anime/musaigen-no-phantom-world/
56,https://animeslayerweb.com/anime/lycoris-recoil/
57,https://animeslayerweb.com/anime/darker-than-black-ryuusei-no-gemini/
58,https://animeslayerweb.com/anime/mahouka-koukou-no-rettousei/
59,https://animeslayerweb.com/anime/kyoukai-senki/
60,https://animeslayerweb.com/anime/hajime-no-ippo-rising/
61,https://animeslayerweb.com/anime/the-idolmster-shiny-colors-2nd-season/
62,https://animeslayerweb.com/anime/detective-conan/
63,https://animeslayerweb.com/anime/hige-wo-soru-soshite-joshikousei-wo-hirou/
