,title,eps_count,publish_date,status,season,studio,rate,eps_period,type,classification
0,Boku no Hero Academia 2nd Season, 25,2023-10, compleated,Spring,Bones,8.10,23.0,series,"['Action', 'School', 'Shounen', 'Super Power']"
1,Cue!, 24,2023-10, compleated,Winter,Graphinica,6.79,24.0,series,"['Music', 'Showbiz']"
2,Maiko-san Chi no Makanai-san, 12,2023-12, compleated,Winter,J.C.Staff,7.03,25.0,series,"['Educational', 'Gourmet', 'Iyashikei', 'Shounen', 'Slice of Life', 'Workplace']"
3,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka, 13,2023-10, compleated,Spring,J.C.Staff,7.54,24.0,series,"['Action', 'Adventure', 'Fantasy']"
5,Golden Kamuy 4th Season, 13,2023-09, compleated,Fall,Brain's Base,8.13,23.0,series,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']"
6,Sayonara Watashi no Cramer, 13,2023-10, compleated,Spring,LIDENFILMS,6.09,23.0,series,"['Drama', 'Shounen', 'Sports', 'Team Sports']"
7,Dance Dance Danseur, 11,2023-09, compleated,Spring,MAPPA,7.87,23.0,series,"['Drama', 'Performing Arts', 'Seinen']"
8,Bleach: Sennen Kessen-hen, 13,2023-09, compleated,Fall,Pierrot,9.06,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
9,Monster, 74,2023-10, compleated,Spring,Madhouse,8.87,24.0,series,"['Adult Cast', 'Drama', 'Mystery', 'Psychological', 'Seinen', 'Suspense']"
11,Yowamushi Pedal: Limit Break, 25,2023-09, compleated,Fall,TMS Entertainment,7.38,24.0,series,"['Racing', 'Shounen', 'Sports']"
13,Shin Chuuka Ichiban! 2nd Season, 12,2023-09, compleated,Winter,Nihon Ad Systems,6.66,24.0,series,"['Comedy', 'Gourmet', 'Shounen']"
14,Yofukashi no Uta, 13,2023-10, compleated,Summer,LIDENFILMS,7.99,22.0,series,"['Romance', 'Shounen', 'Supernatural', 'Vampire']"
15,Mairimashita! Iruma-kun 3rd Season, 21,2023-09, compleated,Fall,Bandai Namco Pictures,7.81,24.0,series,"['Comedy', 'Fantasy', 'Isekai', 'Mythology', 'School', 'Shounen']"
16,Tokyo Ghoul:re, 12,2023-09, compleated,Spring,Pierrot,6.37,24.0,series,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen']"
17,Nande Koko ni Sensei ga!?, 12,2023-09, compleated,Spring,Tear Studio,6.51,11.0,series,"['Comedy', 'Ecchi', 'School', 'Seinen']"
19,Magi: Sinbad no Bouken (TV), 13,2023-10, compleated,Spring,Lay-duce,7.84,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
20,Dokyuu Hentai HxEros, 12,2023-09, compleated,Summer,Project No.9,5.75,23.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'School', 'Sci-Fi', 'Shounen', 'Super Power']"
21,Senryuu Shoujo, 12,2023-09, compleated,Spring,Connect,7.38,12.0,series,"['Comedy', 'School', 'Shounen', 'Slice of Life']"
22,Edomae Elf, 12,2023-09, compleated,Spring,C2C,7.30,24.0,series,"['Comedy', 'Shounen', 'Supernatural']"
24,Tensura Nikki: Tensei shitara Slime Datta Ken, 12,2023-09, compleated,Spring,8bit,7.59,23.0,series,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']"
25,Gensou Sangokushi: Tengen Reishinki, 12,2023-09, compleated,Winter,Geek Toys,5.32,24.0,series,"['Fantasy', 'Historical']"
26,Baccano!, 13,2023-10, compleated,Summer,Brain's Base,8.36,24.0,series,"['Action', 'Comedy', 'Historical', 'Mystery', 'Organized Crime', 'Supernatural']"
27,Kobayashi-san Chi no Maid Dragon, 13,2023-10, compleated,Winter,Kyoto Animation,7.96,24.0,series,"['Fantasy', 'Slice of Life']"
29,Shingeki no Kyojin: The Final Season, 16,2023-10, compleated,Winter,MAPPA,8.79,23.0,series,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']"
31,Karakuri Circus, 36,2023-10, compleated,Fall,Studio VOLN,7.15,24.0,series,"['Action', 'Adventure', 'Drama', 'Mystery', 'Shounen']"
34,Dies Irae, 11,2023-09, compleated,Fall,A.C.G.T.,5.38,23.0,series,"['Action', 'Military', 'Super Power']"
35,Ryman’s Club, 12,2023-09, compleated,Winter,LIDENFILMS,7.37,23.0,series,"['Adult Cast', 'Sports', 'Workplace']"
36,Dogeza de Tanondemita, 12,2023-09, compleated,Fall,Adonero,5.59,3.0,series,"['Comedy', 'Ecchi', 'Fantasy']"
37,Tokyo 24-ku, 12,2023-09, compleated,Winter,CloverWorks,6.35,24.0,series,"['Mystery', 'Sci-Fi', 'Super Power']"
38,Vlad Love,null,2023-12, compleated,unknown,Drive,5.84,24.0,series,"['Comedy', 'School', 'Supernatural', 'Vampire']"
39,Kaichou wa Maid-sama!, 26,2023-10, compleated,Spring,J.C.Staff,8.01,24.0,series,"['Comedy', 'Romance', 'School', 'Shoujo']"
40,Seiken no Blacksmith, 12,2023-09, compleated,Fall,Manglobe,6.66,23.0,series,"['Action', 'Adventure', 'Fantasy']"
41,Steins;Gate 0, 23,2023-10, compleated,Spring,White Fox,8.53,23.0,series,"['Drama', 'Sci-Fi', 'Suspense', 'Time Travel']"
42,Kyuuketsuki Sugu Shinu, 12,2023-09, compleated,Fall,Madhouse,7.26,23.0,series,"['Adult Cast', 'Comedy', 'Gag Humor', 'Shounen', 'Supernatural', 'Vampire']"
43,Blade Runner: Black Lotus, 13,2023-10, compleated,Fall,Sola Digital Arts,6.28,23.0,series,"['Sci-Fi', 'Suspense']"
44,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2, 13,2023-10, compleated,Winter,J.C.Staff,7.44,24.0,series,"['Action', 'Fantasy', 'Harem', 'Isekai', 'Military', 'Romance']"
45,Charlotte, 13,2023-10, compleated,Summer,P.A. Works,7.75,24.0,series,"['Drama', 'School', 'Super Power']"
46,Koi wa Ameagari no You ni, 12,2023-09, compleated,Winter,Wit Studio,7.49,22.0,series,"['Drama', 'Romance', 'Seinen', 'Workplace']"
47,Darker than Black: Kuro no Keiyakusha, 25,2023-10, compleated,Spring,Bones,8.06,24.0,series,"['Action', 'Mystery', 'Sci-Fi', 'Super Power']"
48,High School DxD BorN, 12,2023-09, compleated,Spring,TNK,7.42,24.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mythology', 'Romance', 'School']"
49,Black Lagoon: The Second Barrage, 12,2023-09, compleated,Fall,Madhouse,8.17,23.0,series,"['Action', 'Adult Cast', 'Organized Crime', 'Seinen']"
50,One Piece: Episode of East Blue – Luffy to 4-nin no Nakama no Daibouken,null,2024-08, compleated,unknown,Toei Animation,7.86,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
51,Dororo, 24,2023-10, compleated,Winter,MAPPA,8.25,24.0,series,"['Action', 'Adventure', 'Historical', 'Mythology', 'Samurai', 'Shounen', 'Supernatural']"
53,So Ra No Wo To, 12,2023-09, compleated,Winter,A-1 Pictures,7.54,24.0,series,"['Iyashikei', 'Military', 'Music', 'Sci-Fi', 'Slice of Life']"
56,SD Gundam World Heroes,null,2023-12, compleated,unknown,Sunrise,5.71,24.0,series,"['Action', 'Mecha', 'Sci-Fi']"
58,Kuroko no Basket 3rd Season, 25,2023-10, compleated,Winter,Production I.G,8.30,24.0,series,"['School', 'Shounen', 'Sports', 'Team Sports']"
59,Yurei Deco, 12,2023-09, compleated,Summer,Science SARU,6.04,23.0,series,['Sci-Fi']
60,Kono Subarashii Sekai ni Shukufuku wo!, 10,2023-09, compleated,Winter,Studio Deen,8.11,23.0,series,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']"
61,Arslan Senki (TV), 25,2023-10, compleated,Spring,LIDENFILMS,7.66,24.0,series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Military', 'Shounen']"
62,Paripi Koumei, 12,2023-09, compleated,Spring,P.A. Works,8.16,23.0,series,"['Adult Cast', 'Comedy', 'Music', 'Showbiz']"
63,Madan no Ou to Vanadis, 13,2023-10, compleated,Fall,Satelight,7.11,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Military']"
64,ون بيس One Piece,null,2025-04, ongoing,Fall,Toei Animation,8.70,,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
65,Baraou no Souretsu, 24,2023-10, compleated,Winter,J.C.Staff,6.35,23.0,series,"['Action', 'Drama', 'Historical', 'Shoujo', 'Supernatural']"
66,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches, 12,2023-12, compleated,Summer,Shaft,6.68,24.0,series,"['Idols (Female)', 'Military', 'Music', 'Sci-Fi']"
67,Isekai Shoukan wa Nidome desu, 12,2023-09, compleated,Spring,Studio Elle,5.67,23.0,series,"['Adventure', 'Comedy', 'Fantasy', 'Harem', 'Isekai', 'Romance']"
68,Nisekoi:, 12,2023-09, compleated,Spring,Shaft,7.35,24.0,series,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
70,Kawaii dake ja Nai Shikimori-san, 12,2023-10, compleated,Spring,Doga Kobo,6.92,23.0,series,"['Comedy', 'Romance', 'School']"
71,"Tantei wa Mou, Shindeiru.", 12,2023-09, compleated,Summer,ENGI,6.38,25.0,series,"['Comedy', 'Mystery', 'Romance']"
72,Yuu☆Yuu☆Hakusho, 112,2023-09, compleated,Fall,Pierrot,8.46,24.0,series,"['Action', 'Fantasy', 'Mythology', 'Shounen']"
73,Code Geass: Hangyaku no Lelouch, 25,2023-10, compleated,Fall,Sunrise,8.70,24.0,series,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']"
74,Appare-Ranman!, 13,2023-10, compleated,Spring,P.A. Works,7.26,23.0,series,"['Adult Cast', 'Comedy', 'Historical', 'Racing']"
75,Mahouka Koukou no Rettousei: Raihousha-hen, 13,2023-10, compleated,Fall,8bit,7.28,23.0,series,"['Action', 'Fantasy', 'Romance', 'School', 'Sci-Fi']"
76,IS: Infinite Stratos, 12,2023-09, compleated,Winter,8bit,6.63,24.0,series,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mecha', 'Sci-Fi']"
77,Higurashi no Naku Koro ni Gou, 24,2023-10, compleated,Fall,Passione,7.20,23.0,series,"['Gore', 'Horror', 'Mystery', 'Psychological', 'Supernatural']"
78,Golden Kamuy 3rd Season, 12,2023-09, compleated,Fall,Geno Studio,8.45,23.0,series,"['Action', 'Adult Cast', 'Adventure', 'Historical', 'Military', 'Seinen']"
79,Bakuman. 2nd Season, 25,2023-10, compleated,Fall,J.C.Staff,8.35,24.0,series,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']"
80,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart, 12,2023-09, compleated,Spring,Zero-G,7.31,23.0,series,"['Adult Cast', 'Comedy', 'Romance']"
84,Shingeki no Bahamut: Virgin Soul, 24,2023-10, compleated,Spring,MAPPA,7.43,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Mythology']"
87,Hajimete no Gal, 10,2023-09, compleated,Summer,NAZ,6.28,23.0,series,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School', 'Shounen']"
88,Gyakuten Sekai no Denchi Shoujo, 12,2023-10, compleated,Fall,Lerche,6.32,23.0,series,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']"
89,Kokoro Connect, 13,2023-10, compleated,Summer,SILVER LINK.,7.74,24.0,series,"['Drama', 'Love Polygon', 'Romance', 'School', 'Supernatural']"
91,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life, 12,2023-09, compleated,Winter,Encourage Films,7.05,23.0,series,['Fantasy']
92,Kidou Senshi Gundam: Suisei no Majo, 12,2023-09, compleated,Fall,Sunrise,7.89,24.0,series,"['Action', 'Mecha', 'School', 'Sci-Fi', 'Space']"
93,Saenai Heroine no Sodatekata ♭, 11,2023-09, compleated,Spring,A-1 Pictures,7.76,22.0,series,"['Comedy', 'Ecchi', 'Harem', 'Otaku Culture', 'Romance', 'School']"
95,Gintama., 12,2023-09, compleated,Winter,Bandai Namco Pictures,8.98,24.0,series,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
96,Shingeki no Kyojin Season 3 Part 2, 10,2023-09, compleated,Spring,Wit Studio,9.05,23.0,series,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival']"
97,Build Divide: Code Black, 12,2023-09, compleated,Fall,LIDENFILMS,6.39,23.0,series,"['Fantasy', 'Strategy Game']"
98,Godzilla: S.P, 13,2023-10, compleated,Spring,Bones,6.65,23.0,series,"['Action', 'Award Winning', 'Mecha', 'Mystery', 'Sci-Fi']"
99,Tenchi Souzou Design-bu, 12,2023-09, compleated,Winter,Asahi Production,7.16,23.0,series,"['Comedy', 'Educational', 'Fantasy', 'Gag Humor', 'Mythology', 'Seinen', 'Workplace']"
100,Seiken Tsukai no World Break, 12,2023-09, compleated,Winter,Diomedéa,6.78,24.0,series,"['Action', 'Fantasy', 'Harem', 'Reincarnation', 'Romance', 'School']"
101,Bungou Stray Dogs 2nd Season, 12,2023-09, compleated,Fall,Bones,8.19,23.0,series,"['Action', 'Adult Cast', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Supernatural']"
102,Triage X, 10,2023-09, compleated,Spring,Xebec,6.32,23.0,series,"['Action', 'Adventure', 'Ecchi', 'Shounen']"
104,Zoku Owarimonogatari,null,2023-10, compleated,unknown,Shaft,8.45,28.0,series,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']"
